language_id,form_id,lexeme,cell,source_form,orth_form,phon_form,analysed_orth_form,source,page,paradigm_tag,tense_tag,morphanalysis_tag,overabundance_tag,phonanalysis_tag,variants_tag,order_tag
hyow,hyow305,kap,2.pl.fut.neg,káp-hnɔ́ʔ-tsû,Σhnɔ́ʔtsû,Σ n̥ ɔ ⁵ ʔ ts u ⁵¹,Σ+hnɔ́ʔ+tsû,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow306,bop,2.sg.1.sg.fut.neg,ì-ní-bóp-hnɔ́ʔ-tî,ìníΣhnɔ́ʔtî,i ¹ n i ⁵ Σ n̥ ɔ ⁵ ʔ t i ⁵¹,ì+ní+Σ+hnɔ́ʔ+tî,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow307,bop,2.sg.1.du.excl.fut.neg,ì-ní-bóp-hnɔ́ʔ-tî,ìníΣhnɔ́ʔtî,i ¹ n i ⁵ Σ n̥ ɔ ⁵ ʔ t i ⁵¹,ì+ní+Σ+hnɔ́ʔ+tî,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow308,bop,2.sg.1.pl.excl.fut.neg,ì-ní-bóp-hnɔ́ʔ-tî,ìníΣhnɔ́ʔtî,i ¹ n i ⁵ Σ n̥ ɔ ⁵ ʔ t i ⁵¹,ì+ní+Σ+hnɔ́ʔ+tî,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow309,bop,2.du.1.sg.fut.neg,ì-ní-bóp-hnɔ́ʔ-hnì-ʔtî,ìníΣhnɔ́ʔhníʔtî,i ¹ n i ⁵ Σ n̥ ɔ ⁵ ʔ n̥ i ⁵ ʔ t i ⁵¹,ì+ní+Σ+hnɔ́ʔ+hníʔ+tî,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow310,bop,2.du.1.du.excl.fut.neg,ì-ní-bóp-hnɔ́ʔ-hníʔ-tî,ìníΣhnɔ́ʔhníʔtî,i ¹ n i ⁵ Σ n̥ ɔ ⁵ ʔ n̥ i ⁵ ʔ t i ⁵¹,ì+ní+Σ+hnɔ́ʔ+hníʔ+tî,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow311,bop,2.du.1.pl.excl.fut.neg,ì-ní-bóp-hnɔ́ʔ-hníʔ-tî,ìníΣhnɔ́ʔhníʔtî,i ¹ n i ⁵ Σ n̥ ɔ ⁵ ʔ n̥ i ⁵ ʔ t i ⁵¹,ì+ní+Σ+hnɔ́ʔ+hníʔ+tî,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow312,bop,2.pl.1.sg.fut.neg,ì-ní-bóp-hnɔ́ʔ-tsû,ìníΣhnɔ́ʔtsû,i ¹ n i ⁵ Σ n̥ ɔ ⁵ ʔ ts u ⁵¹,ì+ní+Σ+hnɔ́ʔ+tsû,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow313,bop,2.pl.1.du.excl.fut.neg,ì-ní-bóp-hnɔ́ʔ-tsû,ìníΣhnɔ́ʔtsû,i ¹ n i ⁵ Σ n̥ ɔ ⁵ ʔ ts u ⁵¹,ì+ní+Σ+hnɔ́ʔ+tsû,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
hyow,hyow314,bop,2.pl.1.pl.excl.fut.neg,ì-ní-bóp-hnɔ́ʔ-tsû,ìníΣhnɔ́ʔtsû,i ¹ n i ⁵ Σ n̥ ɔ ⁵ ʔ ts u ⁵¹,ì+ní+Σ+hnɔ́ʔ+tsû,Zakaria2018Hyow,324,default,NA,NA,NA,NA,NA,NA
