cell_id,POS,TA,POL,A_Person,A_Number,A_Clusivity,O_Person,O_Number,O_Clusivity,Label
1.du.excl.nfut.neg,verb,nfut,neg,1,du,excl,NA,NA,NA,1DU.EXCL.NFUT.NEG
1.du.incl.3.du.fut.aff,verb,fut,aff,1,du,incl,3,du,NA,1DU.INCL>3DU.FUT.AFF
1.du.incl.3.du.fut.neg,verb,fut,neg,1,du,incl,3,du,NA,1DU.INCL>3DU.FUT.NEG
1.du.incl.3.du.nfut.aff,verb,nfut,aff,1,du,incl,3,du,NA,1DU.INCL>3DU.NFUT.AFF
1.du.incl.3.du.nfut.neg,verb,nfut,neg,1,du,incl,3,du,NA,1DU.INCL>3DU.NFUT.NEG
1.pl.excl.2.du.fut.aff,verb,fut,aff,1,pl,excl,2,du,NA,1PL.EXCL>2DU.FUT.AFF
1.pl.excl.2.du.fut.neg,verb,fut,neg,1,pl,excl,2,du,NA,1PL.EXCL>2DU.FUT.NEG
1.pl.excl.2.du.nfut.aff,verb,nfut,aff,1,pl,excl,2,du,NA,1PL.EXCL>2DU.NFUT.AFF
1.pl.excl.2.du.nfut.neg,verb,nfut,neg,1,pl,excl,2,du,NA,1PL.EXCL>2DU.NFUT.NEG
1.pl.excl.3.du.fut.aff,verb,fut,aff,1,pl,excl,3,du,NA,1PL.EXCL>3DU.FUT.AFF
1.pl.excl.3.du.fut.neg,verb,fut,neg,1,pl,excl,3,du,NA,1PL.EXCL>3DU.FUT.NEG
1.pl.excl.3.du.nfut.aff,verb,nfut,aff,1,pl,excl,3,du,NA,1PL.EXCL>3DU.NFUT.AFF
1.pl.excl.3.du.nfut.neg,verb,nfut,neg,1,pl,excl,3,du,NA,1PL.EXCL>3DU.NFUT.NEG
1.pl.incl.3.du.fut.aff,verb,fut,aff,1,pl,incl,3,du,NA,1PL.INCL>3DU.FUT.AFF
1.pl.incl.3.du.fut.neg,verb,fut,neg,1,pl,incl,3,du,NA,1PL.INCL>3DU.FUT.NEG
1.pl.incl.3.du.nfut.aff,verb,nfut,aff,1,pl,incl,3,du,NA,1PL.INCL>3DU.NFUT.AFF
1.pl.incl.3.du.nfut.neg,verb,nfut,neg,1,pl,incl,3,du,NA,1PL.INCL>3DU.NFUT.NEG
1.sg.2.du.fut.aff,verb,fut,aff,1,sg,NA,2,du,NA,1SG>2DU.FUT.AFF
1.sg.2.du.fut.neg,verb,fut,neg,1,sg,NA,2,du,NA,1SG>2DU.FUT.NEG
1.sg.2.du.nfut.aff,verb,nfut,aff,1,sg,NA,2,du,NA,1SG>2DU.NFUT.AFF
1.sg.2.du.nfut.neg,verb,nfut,neg,1,sg,NA,2,du,NA,1SG>2DU.NFUT.NEG
1.sg.3.du.fut.aff,verb,fut,aff,1,sg,NA,3,du,NA,1SG>3DU.FUT.AFF
1.sg.3.du.fut.neg,verb,fut,neg,1,sg,NA,3,du,NA,1SG>3DU.FUT.NEG
1.sg.3.du.nfut.aff,verb,nfut,aff,1,sg,NA,3,du,NA,1SG>3DU.NFUT.AFF
1.sg.3.du.nfut.neg,verb,nfut,neg,1,sg,NA,3,du,NA,1SG>3DU.NFUT.NEG
2.du.1.du.excl.fut.aff,verb,fut,aff,2,du,NA,1,du,excl,2DU>1DU.EXCL.FUT.AFF
2.du.1.du.excl.fut.neg,verb,fut,neg,2,du,NA,1,du,excl,2DU>1DU.EXCL.FUT.NEG
2.du.1.du.excl.nfut.aff,verb,nfut,aff,2,du,NA,1,du,excl,2DU>1DU.EXCL.NFUT.AFF
2.du.1.du.excl.nfut.neg,verb,nfut,neg,2,du,NA,1,du,excl,2DU>1DU.EXCL.NFUT.NEG
2.du.1.pl.excl.fut.aff,verb,fut,aff,2,du,NA,1,pl,excl,2DU>1PL.EXCL.FUT.AFF
2.du.1.pl.excl.fut.neg,verb,fut,neg,2,du,NA,1,pl,excl,2DU>1PL.EXCL.FUT.NEG
2.du.1.pl.excl.nfut.aff,verb,nfut,aff,2,du,NA,1,pl,excl,2DU>1PL.EXCL.NFUT.AFF
2.du.1.pl.excl.nfut.neg,verb,nfut,neg,2,du,NA,1,pl,excl,2DU>1PL.EXCL.NFUT.NEG
2.du.1.sg.fut.aff,verb,fut,aff,2,du,NA,1,sg,NA,2DU>1SG.FUT.AFF
2.du.1.sg.fut.neg,verb,fut,neg,2,du,NA,1,sg,NA,2DU>1SG.FUT.NEG
2.du.1.sg.nfut.aff,verb,nfut,aff,2,du,NA,1,sg,NA,2DU>1SG.NFUT.AFF
2.du.1.sg.nfut.neg,verb,nfut,neg,2,du,NA,1,sg,NA,2DU>1SG.NFUT.NEG
2.du.3.du.fut.aff,verb,fut,aff,2,du,NA,3,du,NA,2DU>3DU.FUT.AFF
2.du.3.du.fut.neg,verb,fut,neg,2,du,NA,3,du,NA,2DU>3DU.FUT.NEG
2.du.3.du.nfut.aff,verb,nfut,aff,2,du,NA,3,du,NA,2DU>3DU.NFUT.AFF
2.du.3.du.nfut.neg,verb,nfut,neg,2,du,NA,3,du,NA,2DU>3DU.NFUT.NEG
2.du.3.pl.fut.aff,verb,fut,aff,2,du,NA,3,pl,NA,2DU>3PL.FUT.AFF
2.du.3.pl.fut.neg,verb,fut,neg,2,du,NA,3,pl,NA,2DU>3PL.FUT.NEG
2.du.3.pl.nfut.aff,verb,nfut,aff,2,du,NA,3,pl,NA,2DU>3PL.NFUT.AFF
2.du.3.pl.nfut.neg,verb,nfut,neg,2,du,NA,3,pl,NA,2DU>3PL.NFUT.NEG
2.du.3.sg.fut.aff,verb,fut,aff,2,du,NA,3,sg,NA,2DU>3SG.FUT.AFF
2.du.3.sg.fut.neg,verb,fut,neg,2,du,NA,3,sg,NA,2DU>3SG.FUT.NEG
2.du.3.sg.nfut.aff,verb,nfut,aff,2,du,NA,3,sg,NA,2DU>3SG.NFUT.AFF
2.du.3.sg.nfut.neg,verb,nfut,neg,2,du,NA,3,sg,NA,2DU>3SG.NFUT.NEG
2.du.fut.aff,verb,fut,aff,2,du,NA,NA,NA,NA,2DU.FUT.AFF
2.du.fut.neg,verb,fut,neg,2,du,NA,NA,NA,NA,2DU.FUT.NEG
2.du.nfut.aff,verb,nfut,aff,2,du,NA,NA,NA,NA,2DU.NFUT.AFF
2.du.nfut.neg,verb,nfut,neg,2,du,NA,NA,NA,NA,2DU.NFUT.NEG
2.pl.1.du.excl.fut.aff,verb,fut,aff,2,pl,NA,1,du,excl,2PL>1DU.EXCL.FUT.AFF
2.pl.1.du.excl.fut.neg,verb,fut,neg,2,pl,NA,1,du,excl,2PL>1DU.EXCL.FUT.NEG
2.pl.1.du.excl.nfut.aff,verb,nfut,aff,2,pl,NA,1,du,excl,2PL>1DU.EXCL.NFUT.AFF
2.pl.1.du.excl.nfut.neg,verb,nfut,neg,2,pl,NA,1,du,excl,2PL>1DU.EXCL.NFUT.NEG
2.pl.3.du.fut.aff,verb,fut,aff,2,pl,NA,3,du,NA,2PL>3DU.FUT.AFF
2.pl.3.du.fut.neg,verb,fut,neg,2,pl,NA,3,du,NA,2PL>3DU.FUT.NEG
2.pl.3.du.nfut.aff,verb,nfut,aff,2,pl,NA,3,du,NA,2PL>3DU.NFUT.AFF
2.pl.3.du.nfut.neg,verb,nfut,neg,2,pl,NA,3,du,NA,2PL>3DU.NFUT.NEG
2.sg.1.du.excl.fut.aff,verb,fut,aff,2,sg,NA,1,du,excl,2SG>1DU.EXCL.FUT.AFF
2.sg.1.du.excl.fut.neg,verb,fut,neg,2,sg,NA,1,du,excl,2SG>1DU.EXCL.FUT.NEG
2.sg.1.du.excl.nfut.aff,verb,nfut,aff,2,sg,NA,1,du,excl,2SG>1DU.EXCL.NFUT.AFF
2.sg.1.du.excl.nfut.neg,verb,nfut,neg,2,sg,NA,1,du,excl,2SG>1DU.EXCL.NFUT.NEG
2.sg.3.du.fut.aff,verb,fut,aff,2,sg,NA,3,du,NA,2SG>3DU.FUT.AFF
2.sg.3.du.fut.neg,verb,fut,neg,2,sg,NA,3,du,NA,2SG>3DU.FUT.NEG
2.sg.3.du.nfut.aff,verb,nfut,aff,2,sg,NA,3,du,NA,2SG>3DU.NFUT.AFF
2.sg.3.du.nfut.neg,verb,nfut,neg,2,sg,NA,3,du,NA,2SG>3DU.NFUT.NEG
3.du.1.du.excl.fut.aff,verb,fut,aff,3,du,NA,1,du,excl,3DU>1DU.EXCL.FUT.AFF
3.du.1.du.excl.fut.neg,verb,fut,neg,3,du,NA,1,du,excl,3DU>1DU.EXCL.FUT.NEG
3.du.1.du.excl.nfut.aff,verb,nfut,aff,3,du,NA,1,du,excl,3DU>1DU.EXCL.NFUT.AFF
3.du.1.du.excl.nfut.neg,verb,nfut,neg,3,du,NA,1,du,excl,3DU>1DU.EXCL.NFUT.NEG
3.du.1.du.incl.fut.aff,verb,fut,aff,3,du,NA,1,du,incl,3DU>1DU.INCL.FUT.AFF
3.du.1.du.incl.fut.neg,verb,fut,neg,3,du,NA,1,du,incl,3DU>1DU.INCL.FUT.NEG
3.du.1.du.incl.nfut.aff,verb,nfut,aff,3,du,NA,1,du,incl,3DU>1DU.INCL.NFUT.AFF
3.du.1.du.incl.nfut.neg,verb,nfut,neg,3,du,NA,1,du,incl,3DU>1DU.INCL.NFUT.NEG
